State,LGA,Payment,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
New South Wales,Nambucca Valley Council,Total Financial Assistance Grant (inc Early Payment),"$3,741,878","$3,941,112","$4,081,901","$4,120,777","$4,422,515","$4,780,522","$5,422,183"
New South Wales,Narrabri Shire Council,Total Early Payment,"$3,392,477","$3,550,389","$3,758,109","$3,845,763","$3,903,609","$6,148,019","$9,064,950"
New South Wales,Narrabri Shire Council,Total Financial Assistance Grant (inc Early Payment),"$6,841,729","$7,174,469","$7,386,292","$7,490,853","$7,901,730","$8,477,496","$9,496,182"
New South Wales,Narrandera Shire Council,Total Early Payment,"$2,221,121","$2,330,016","$2,507,426","$2,557,207","$2,629,336","$4,124,547","$6,118,620"
New South Wales,Narrandera Shire Council,Total Financial Assistance Grant (inc Early Payment),"$4,490,059","$4,748,006","$4,919,935","$5,012,392","$5,311,569","$5,721,635","$6,428,555"
New South Wales,Narromine Shire Council,Total Early Payment,"$2,023,902","$2,116,279","$2,292,175","$2,333,726","$2,382,852","$3,759,984","$5,578,803"
New South Wales,Narromine Shire Council,Total Financial Assistance Grant (inc Early Payment),"$4,078,163","$4,326,699","$4,493,842","$4,558,746","$4,827,990","$5,216,514","$5,854,752"
New South Wales,Newcastle City Council,Total Early Payment,"$6,079,170","$6,365,629","$6,187,916","$6,664,402","$6,204,941","$10,414,023","$14,336,520"
New South Wales,Newcastle City Council,Total Financial Assistance Grant (inc Early Payment),"$12,264,656","$12,333,774","$12,478,449","$12,462,161","$12,982,683","$13,420,669","$14,918,314"
New South Wales,North Sydney Council,Total Early Payment,"$987,596","$1,021,684","$1,015,036","$1,091,520","$1,044,297","$1,713,057","$2,411,125"
New South Wales,North Sydney Council,Total Financial Assistance Grant (inc Early Payment),"$1,968,606","$2,000,589","$2,045,058","$2,066,933","$2,158,772","$2,256,383","$2,435,203"
New South Wales,Northern Beaches Council,Total Early Payment,"$3,850,593","$3,973,986","$4,011,853","$4,160,484","$4,110,396","$6,530,989","$9,440,907"
New South Wales,Northern Beaches Council,Total Financial Assistance Grant (inc Early Payment),"$7,657,494","$7,842,877","$7,937,463","$7,999,113","$8,358,480","$8,832,434","$9,645,448"
New South Wales,Oberon Council,Total Early Payment,"$1,246,714","$1,308,855","$1,410,467","$1,481,422","$1,465,966","$2,465,811","$3,567,795"
New South Wales,Oberon Council,Total Financial Assistance Grant (inc Early Payment),"$2,522,278","$2,669,003","$2,807,947","$2,850,243","$3,069,338","$3,335,679","$3,783,360"
New South Wales,Orange City Council,Total Early Payment,"$2,183,865","$2,288,466","$2,360,885","$2,495,804","$2,422,814","$3,976,933","$5,765,561"
New South Wales,Orange City Council,Total Financial Assistance Grant (inc Early Payment),"$4,409,608","$4,565,299","$4,715,961","$4,758,680","$5,009,892","$5,391,956","$6,090,816"
New South Wales,Parkes Shire Council,Total Early Payment,"$2,924,483","$3,068,775","$3,308,315","$3,368,918","$3,420,770","$5,402,651","$8,011,713"
New South Wales,Parkes Shire Council,Total Financial Assistance Grant (inc Early Payment),"$5,913,686","$6,259,056","$6,486,607","$6,562,924","$6,934,143","$7,491,339","$8,424,392"
New South Wales,Penrith City Council,Total Early Payment,"$5,379,058","$5,641,809","$5,534,288","$5,694,322","$5,654,239","$9,066,776","$12,839,266"
New South Wales,Penrith City Council,Total Financial Assistance Grant (inc Early Payment),"$10,870,772","$10,979,178","$10,907,962","$10,975,824","$11,552,545","$12,016,068","$13,069,473"
New South Wales,Port Macquarie Hastings Council,Total Early Payment,"$4,423,488","$4,649,324","$4,746,833","$4,931,822","$4,878,589","$7,730,211","$11,190,591"
New South Wales,Port Macquarie Hastings Council,Total Financial Assistance Grant (inc Early Payment),"$8,959,196","$9,226,865","$9,399,783","$9,487,165","$9,905,667","$10,468,461","$11,657,889"
New South Wales,Port Stephens Council,Total Early Payment,"$3,218,945","$3,372,621","$3,392,605","$3,541,898","$3,459,313","$5,507,409","$7,916,706"
New South Wales,Port Stephens Council,Total Financial Assistance Grant (inc Early Payment),"$6,498,261","$6,644,618","$6,735,429","$6,773,614","$7,043,123","$7,407,745","$8,248,557"
New South Wales,Queanbeyan-Palerang Regional Council,Total Early Payment,"$2,895,529","$3,043,409","$3,120,940","$3,256,320","$3,222,194","$5,137,434","$7,451,885"
New South Wales,Queanbeyan-Palerang Regional Council,Total Financial Assistance Grant (inc Early Payment),"$5,865,044","$6,052,815","$6,192,370","$6,264,096","$6,561,752","$6,969,532","$7,822,988"
New South Wales,Randwick City Council,Total Early Payment,"$1,977,537","$2,043,124","$2,168,706","$2,180,747","$2,228,410","$3,449,056","$4,989,355"
New South Wales,Randwick City Council,Total Financial Assistance Grant (inc Early Payment),"$3,936,728","$4,134,648","$4,226,596","$4,262,224","$4,472,314","$4,669,285","$5,025,502"
New South Wales,Richmond Valley Council,Total Early Payment,"$2,368,746","$2,486,219","$2,638,347","$2,712,400","$2,708,496","$4,374,281","$6,396,721"
New South Wales,Richmond Valley Council,Total Financial Assistance Grant (inc Early Payment),"$4,790,987","$5,030,496","$5,197,392","$5,241,584","$5,553,375","$5,981,973","$6,746,876"
New South Wales,Shoalhaven City Council,Total Early Payment,"$5,911,222","$6,217,467","$6,299,314","$6,548,913","$6,455,566","$10,245,672","$14,881,612"
New South Wales,Shoalhaven City Council,Total Financial Assistance Grant (inc Early Payment),"$11,980,586","$12,292,337","$12,478,597","$12,577,634","$13,119,734","$13,919,958","$15,474,132"
New South Wales,Silverton Village Committee Incorporated,Total Early Payment,"$16,208","$16,803","$18,102","$17,279","$18,766","$27,500","$41,621"
New South Wales,Silverton Village Committee Incorporated,Total Financial Assistance Grant (inc Early Payment),"$32,369","$34,102","$34,418","$34,823","$36,677","$38,945","$43,640"
New South Wales,Singleton Council,Total Early Payment,"$1,731,878","$1,827,873","$1,933,710","$1,991,051","$2,012,012","$3,302,190","$4,802,645"
New South Wales,Singleton Council,Total Financial Assistance Grant (inc Early Payment),"$3,522,448","$3,692,580","$3,812,015","$3,869,568","$4,159,336","$4,490,773","$5,092,586"
New South Wales,Snowy Monaro Regional Council,Total Early Payment,"$4,538,182","$4,760,774","$4,884,475","$5,105,962","$5,057,742","$8,009,929","$11,711,316"
New South Wales,Snowy Monaro Regional Council,Total Financial Assistance Grant (inc Early Payment),"$9,173,832","$9,471,169","$9,702,023","$9,829,221","$10,267,609","$10,953,953","$12,328,644"
New South Wales,Snowy Valleys Council,Total Early Payment,"$2,667,311","$2,792,520","$2,935,220","$3,080,748","$3,026,241","$4,930,929","$7,182,489"
New South Wales,Snowy Valleys Council,Total Financial Assistance Grant (inc Early Payment),"$5,380,848","$5,623,258","$5,842,353","$5,907,369","$6,234,149","$6,717,075","$7,599,881"
New South Wales,Strathfield Municipal Council,Total Early Payment,"$553,126","$576,456","$645,951","$638,561","$700,594","$1,064,281","$1,604,739"
New South Wales,Strathfield Municipal Council,Total Financial Assistance Grant (inc Early Payment),"$1,110,754","$1,199,414","$1,248,525","$1,292,957","$1,393,006","$1,500,783","$1,626,368"
New South Wales,Sutherland Shire Council,Total Early Payment,"$3,332,134","$3,427,166","$3,450,488","$3,622,822","$3,521,342","$5,741,473","$8,300,856"
New South Wales,Sutherland Shire Council,Total Financial Assistance Grant (inc Early Payment),"$6,603,868","$6,754,647","$6,868,623","$6,911,141","$7,255,599","$7,763,554","$8,642,362"
New South Wales,Tamworth Regional Council,Total Early Payment,"$5,212,834","$5,267,664","$5,357,817","$5,589,496","$5,518,808","$8,781,061","$12,781,432"
New South Wales,Tamworth Regional Council,Total Financial Assistance Grant (inc Early Payment),"$10,150,804","$10,434,009","$10,629,911","$10,741,074","$11,226,938","$11,953,895","$13,471,117"
New South Wales,Temora Shire Council,Total Early Payment,"$1,602,061","$1,676,928","$1,938,434","$1,868,186","$2,032,028","$3,067,985","$4,690,253"
New South Wales,Temora Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,231,583","$3,546,141","$3,700,820","$3,765,273","$4,027,052","$4,384,842","$4,961,013"
New South Wales,Tenterfield Shire Council,Total Early Payment,"$2,202,724","$2,310,919","$2,519,660","$2,573,300","$2,635,307","$4,192,840","$6,237,389"
New South Wales,Tenterfield Shire Council,Total Financial Assistance Grant (inc Early Payment),"$4,453,345","$4,740,680","$4,947,247","$5,033,952","$5,361,806","$5,831,516","$6,611,692"
New South Wales,The Council of Camden,Total Early Payment,"$1,797,631","$1,927,134","$1,977,539","$2,078,442","$2,072,375","$3,329,852","$4,915,785"
New South Wales,The Council of Camden,Total Financial Assistance Grant (inc Early Payment),"$3,713,669","$3,834,045","$3,938,028","$4,013,014","$4,236,899","$4,594,905","$5,568,589"
New South Wales,The Council of the City of Sydney,Total Early Payment,"$2,744,912","$2,880,340","$3,458,298","$3,158,347","$3,676,761","$5,012,077","$7,688,544"
New South Wales,The Council of the City of Sydney,Total Financial Assistance Grant (inc Early Payment),"$5,549,962","$6,215,617","$6,438,833","$6,592,935","$6,937,774","$7,196,548","$7,745,588"
New South Wales,The Hills Shire Council,Total Early Payment,"$2,540,844","$2,731,511","$2,734,338","$3,004,493","$2,946,808","$5,013,875","$7,227,261"
New South Wales,The Hills Shire Council,Total Financial Assistance Grant (inc Early Payment),"$5,263,504","$5,368,283","$5,568,592","$5,755,902","$6,206,841","$6,756,370","$7,911,881"
New South Wales,Tibooburra Village Committee Incorporated,Total Early Payment,"$36,396","$37,733","$39,076","$40,467","$40,361","$64,485","$93,464"
New South Wales,Tibooburra Village Committee Incorporated,Total Financial Assistance Grant (inc Early Payment),"$72,688","$75,426","$77,288","$78,199","$82,360","$87,456","$97,999"
New South Wales,Tweed Shire Council,Total Early Payment,"$5,123,444","$5,382,879","$5,438,825","$5,685,588","$5,564,472","$8,903,993","$12,797,827"
New South Wales,Tweed Shire Council,Total Financial Assistance Grant (inc Early Payment),"$10,372,365","$10,627,952","$10,803,559","$10,882,318","$11,356,062","$11,973,349","$13,265,187"
New South Wales,Upper Hunter Shire Council,Total Early Payment,"$2,323,790","$2,436,475","$2,615,692","$2,683,288","$2,712,645","$4,383,077","$6,449,876"
New South Wales,Upper Hunter Shire Council,Total Financial Assistance Grant (inc Early Payment),"$4,695,483","$4,958,737","$5,146,732","$5,215,694","$5,562,299","$6,030,290","$6,818,695"
New South Wales,Upper Lachlan Shire Council,Total Early Payment,"$2,198,157","$2,289,207","$2,474,612","$2,528,409","$2,574,109","$4,095,939","$6,067,668"
New South Wales,Upper Lachlan Shire Council,Total Financial Assistance Grant (inc Early Payment),"$4,411,686","$4,675,400","$4,859,460","$4,931,369","$5,236,857","$5,673,005","$6,416,024"
New South Wales,Uralla Shire Council,Total Early Payment,"$1,193,081","$1,250,858","$1,329,049","$1,382,107","$1,379,398","$2,288,142","$3,328,277"
New South Wales,Uralla Shire Council,Total Financial Assistance Grant (inc Early Payment),"$2,410,578","$2,532,466","$2,632,785","$2,669,988","$2,867,224","$3,111,802","$3,523,626"
New South Wales,Wagga Wagga City Council,Total Early Payment,"$4,956,776","$5,199,163","$5,256,259","$5,488,910","$5,382,345","$8,536,837","$12,361,442"
New South Wales,Wagga Wagga City Council,Total Financial Assistance Grant (inc Early Payment),"$10,018,804","$10,267,967","$10,434,756","$10,514,702","$10,934,061","$11,563,533","$12,888,812"
New South Wales,Walcha Council,Total Early Payment,"$1,055,460","$1,091,357","$1,231,148","$1,265,639","$1,326,590","$2,149,075","$3,215,586"
New South Wales,Walcha Council,Total Financial Assistance Grant (inc Early Payment),"$2,103,286","$2,278,518","$2,424,941","$2,504,100","$2,723,842","$3,005,363","$3,435,066"
New South Wales,Walgett Shire Council,Total Early Payment,"$2,957,816","$3,102,889","$3,326,321","$3,437,708","$3,559,285","$5,623,120","$8,329,210"
New South Wales,Walgett Shire Council,Total Financial Assistance Grant (inc Early Payment),"$5,979,301","$6,310,631","$6,569,735","$6,761,599","$7,216,558","$7,788,759","$8,837,681"
New South Wales,Warren Shire Council,Total Early Payment,"$1,278,211","$1,340,717","$1,522,268","$1,525,848","$1,620,116","$2,532,373","$3,826,431"
New South Wales,Warren Shire Council,Total Financial Assistance Grant (inc Early Payment),"$2,583,751","$2,808,654","$2,961,639","$3,038,546","$3,266,757","$3,576,912","$4,053,984"
New South Wales,Warrumbungle Shire Council,Total Early Payment,"$3,320,747","$3,484,935","$3,690,376","$3,790,836","$3,871,855","$6,078,455","$8,990,720"
New South Wales,Warrumbungle Shire Council,Total Financial Assistance Grant (inc Early Payment),"$6,715,741","$7,043,623","$7,266,533","$7,406,011","$7,824,439","$8,407,673","$9,456,032"
New South Wales,Waverley Council,Total Early Payment,"$967,826","$998,410","$997,255","$1,062,708","$1,010,745","$1,661,624","$2,330,225"
New South Wales,Waverley Council,Total Financial Assistance Grant (inc Early Payment),"$1,923,724","$1,960,182","$2,000,131","$2,006,839","$2,091,835","$2,180,837","$2,356,212"
New South Wales,Weddin Shire Council,Total Early Payment,"$1,233,421","$1,290,357","$1,443,289","$1,454,319","$1,528,437","$2,432,418","$3,649,977"
New South Wales,Weddin Shire Council,Total Financial Assistance Grant (inc Early Payment),"$2,486,706","$2,682,124","$2,815,161","$2,881,352","$3,110,062","$3,411,809","$3,895,847"
New South Wales,Wentworth Shire Council,Total Early Payment,"$2,939,363","$3,084,389","$3,212,430","$3,323,376","$3,350,134","$5,301,868","$7,383,485"
New South Wales,Wentworth Shire Council,Total Financial Assistance Grant (inc Early Payment),"$5,943,716","$6,182,236","$6,347,789","$6,451,592","$6,797,988","$6,916,252","$7,729,874"
New South Wales,Willoughby City Council,Total Early Payment,"$1,081,119","$1,119,558","$1,169,990","$1,181,753","$1,205,545","$1,848,591","$2,688,869"
New South Wales,Willoughby City Council,Total Financial Assistance Grant (inc Early Payment),"$2,157,271","$2,247,880","$2,285,082","$2,307,692","$2,408,052","$2,516,245","$2,720,809"
New South Wales,Wingecarribee Shire Council,Total Early Payment,"$2,425,471","$2,547,984","$2,605,617","$2,717,331","$2,696,491","$4,296,496","$6,226,447"
New South Wales,Wingecarribee Shire Council,Total Financial Assistance Grant (inc Early Payment),"$4,910,212","$5,060,553","$5,168,884","$5,234,675","$5,489,816","$5,823,855","$6,495,186"
New South Wales,Wollondilly Shire Council,Total Early Payment,"$1,825,794","$1,910,321","$1,935,879","$2,002,137","$1,974,371","$3,106,004","$4,517,539"
New South Wales,Wollondilly Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,681,362","$3,777,076","$3,824,555","$3,845,390","$3,993,873","$4,225,708","$4,721,535"
New South Wales,Wollongong City Council,Total Early Payment,"$9,018,520","$9,455,742","$9,466,104","$9,895,448","$9,619,266","$15,340,588","$22,004,267"
New South Wales,Wollongong City Council,Total Financial Assistance Grant (inc Early Payment),"$18,218,126","$18,585,782","$18,806,810","$18,883,700","$19,604,393","$20,591,269","$22,891,344"
New South Wales,Yass Valley Council,Total Early Payment,"$1,418,212","$1,489,082","$1,593,179","$1,637,743","$1,650,849","$2,756,254","$4,002,937"
New South Wales,Yass Valley Council,Total Financial Assistance Grant (inc Early Payment),"$2,869,849","$3,025,275","$3,137,766","$3,178,571","$3,442,365","$3,741,967","$4,219,179"
Northern Territory,Alice Springs Town Council,Total Early Payment,"$835,786","$848,232","$819,465","$836,248","$805,167","$1,407,831","$1,890,814"
Northern Territory,Alice Springs Town Council,Total Financial Assistance Grant (inc Early Payment),"$1,650,037","$1,651,288","$1,617,971","$1,592,761","$1,720,713","$1,781,242","$2,062,243"
Northern Territory,Barkly Regional Council,Total Early Payment,"$1,113,081","$1,149,242","$1,054,062","$1,149,902","$1,097,359","$1,884,109","$2,631,566"
Northern Territory,Barkly Regional Council,Total Financial Assistance Grant (inc Early Payment),"$2,252,384","$2,198,618","$2,166,680","$2,190,644","$2,326,128","$2,491,985","$2,700,580"
Northern Territory,Belyuen Community Government Council,Total Early Payment,"$29,583","$30,688","$29,464","$30,007","$28,857","$46,281","$67,643"
Northern Territory,Belyuen Community Government Council,Total Financial Assistance Grant (inc Early Payment),"$59,725","$59,591","$58,142","$57,135","$58,950","$63,620","$69,834"
Northern Territory,Central Desert Regional Council,Total Early Payment,"$911,465","$915,248","$1,069,073","$1,089,314","$1,177,765","$1,685,656","$2,667,303"
Northern Territory,Central Desert Regional Council,Total Financial Assistance Grant (inc Early Payment),"$1,783,851","$1,970,192","$2,112,135","$2,198,982","$2,274,099","$2,509,269","$2,765,551"
Northern Territory,City of Darwin,Total Early Payment,"$1,832,278","$1,927,970","$1,900,389","$1,962,848","$3,016,032","$4,535,349","$1,776,939"
Northern Territory,City of Darwin,Total Financial Assistance Grant (inc Early Payment),"$3,728,374","$3,747,977","$3,748,517","$3,925,050","$4,269,366","$4,751,111","$3,568,094"
Northern Territory,City of Palmerston,Total Early Payment,"$776,198","$830,215","$884,030","$996,050","$911,487","$1,691,303","$2,375,184"
Northern Territory,City of Palmerston,Total Financial Assistance Grant (inc Early Payment),"$1,615,592","$1,699,034","$1,835,757","$1,854,408","$2,011,544","$2,233,663","$2,463,927"
Northern Territory,Coomalie Community Government Council,Total Early Payment,"$221,887","$243,609","$275,555","$278,638","$284,786","$461,654","$669,102"
Northern Territory,Coomalie Community Government Council,Total Financial Assistance Grant (inc Early Payment),"$470,269","$509,867","$538,383","$544,276","$584,163","$625,884","$695,007"
Northern Territory,East Arnhem Regional Council,Total Early Payment,"$2,189,380","$2,194,656","$2,307,485","$2,390,663","$2,367,090","$3,831,416","$5,634,622"
Northern Territory,East Arnhem Regional Council,Total Financial Assistance Grant (inc Early Payment),"$4,293,778","$4,486,585","$4,615,988","$4,632,610","$4,864,364","$5,324,616","$5,797,936"
Northern Territory,Katherine Town Council,Total Early Payment,"$598,566","$634,206","$608,630","$596,016","$598,959","$884,883","$1,284,426"
Northern Territory,Katherine Town Council,Total Financial Assistance Grant (inc Early Payment),"$1,235,252","$1,232,173","$1,179,343","$1,159,522","$1,174,491","$1,210,851","$1,325,863"
Northern Territory,Litchfield Council,Total Early Payment,"$1,519,358","$1,565,042","$1,655,393","$1,616,947","$1,704,034","$2,573,927","$3,863,668"
Northern Territory,Litchfield Council,Total Financial Assistance Grant (inc Early Payment),"$3,027,805","$3,172,369","$3,186,865","$3,210,686","$3,374,705","$3,620,971","$4,042,447"
Northern Territory,Local Government Association of the Northern Territory Inc,Total Early Payment,"$748,156","$788,186","$821,861","$812,735","$838,917","$1,263,386","$1,981,821"
Northern Territory,Local Government Association of the Northern Territory Inc,Total Financial Assistance Grant (inc Early Payment),"$1,519,809","$1,580,256","$1,587,181","$1,594,166","$1,657,929","$1,849,934","$2,095,438"
Northern Territory,MacDonnell Regional Council,Total Early Payment,"$1,389,247","$1,402,541","$1,447,345","$1,517,319","$1,527,284","$2,447,753","$3,698,971"
Northern Territory,MacDonnell Regional Council,Total Financial Assistance Grant (inc Early Payment),"$2,739,871","$2,835,423","$2,909,136","$2,961,591","$3,121,930","$3,488,760","$3,807,644"
Northern Territory,Roper Gulf Regional Council,Total Early Payment,"$1,468,325","$1,485,860","$1,628,870","$1,557,998","$1,669,459","$2,467,434","$3,783,526"
Northern Territory,Roper Gulf Regional Council,Total Financial Assistance Grant (inc Early Payment),"$2,902,427","$3,099,449","$3,129,112","$3,136,693","$3,276,665","$3,571,458","$3,923,825"
Northern Territory,Tiwi Islands Regional Council,Total Early Payment,"$706,913","$722,516","$705,945","$718,786","$704,011","$1,124,027","$1,653,504"
Northern Territory,Tiwi Islands Regional Council,Total Financial Assistance Grant (inc Early Payment),"$1,402,120","$1,411,097","$1,389,630","$1,378,676","$1,434,157","$1,551,713","$1,725,590"
Northern Territory,Victoria Daly Regional Council,Total Early Payment,"$603,879","$621,251","$592,738","$610,038","$603,308","$988,051","$1,445,791"
Northern Territory,Victoria Daly Regional Council,Total Financial Assistance Grant (inc Early Payment),"$1,208,288","$1,202,055","$1,175,121","$1,176,867","$1,245,751","$1,358,984","$1,542,262"
Northern Territory,Wagait Shire Council,Total Early Payment,"$31,949","$32,654","$36,073","$33,013","$36,711","$53,980","$84,477"
Northern Territory,Wagait Shire Council,Total Financial Assistance Grant (inc Early Payment),"$63,143","$67,724","$67,292","$67,372","$71,741","$79,103","$87,486"
Northern Territory,West Arnhem Regional Council,Total Early Payment,"$1,207,461","$1,244,380","$1,234,842","$1,316,367","$1,251,256","$2,098,292","$2,926,049"
Northern Territory,West Arnhem Regional Council,Total Financial Assistance Grant (inc Early Payment),"$2,424,746","$2,459,872","$2,496,610","$2,495,488","$2,616,681","$2,759,297","$3,230,713"
Northern Territory,West Daly Regional Council,Total Early Payment,"$708,357","$723,106","$726,663","$827,280","$733,866","$1,328,423","$1,857,631"
Northern Territory,West Daly Regional Council,Total Financial Assistance Grant (inc Early Payment),"$1,405,307","$1,434,239","$1,515,323","$1,516,495","$1,597,322","$1,745,072","$1,918,865"
Queensland,Aurukun Shire Council,Total Early Payment,"$958,161","$1,028,163","$1,141,380","$1,142,545","$1,140,391","$1,817,840","$3,689,378"
Queensland,Aurukun Shire Council,Total Financial Assistance Grant (inc Early Payment),"$1,978,631","$2,127,152","$2,214,162","$2,198,467","$2,305,682","$2,933,428","$3,818,420"
Queensland,Balonne Shire Council,Total Early Payment,"$2,580,674","$2,741,065","$2,957,096","$3,018,006","$3,012,846","$4,983,455","$10,683,041"
Queensland,Balonne Shire Council,Total Financial Assistance Grant (inc Early Payment),"$5,277,802","$5,588,987","$5,792,974","$5,811,707","$6,216,535","$8,210,168","$11,056,459"
Queensland,Banana Shire Council,Total Early Payment,"$3,958,613","$3,925,317","$3,691,273","$3,942,334","$3,674,643","$5,786,646","$12,367,914"
Queensland,Banana Shire Council,Total Financial Assistance Grant (inc Early Payment),"$7,557,409","$7,480,564","$7,396,362","$7,351,419","$7,398,149","$9,642,294","$12,811,713"
Queensland,Barcaldine Regional Council,Total Early Payment,"$3,532,975","$3,693,595","$3,792,581","$3,961,060","$3,771,861","$6,453,561","$11,354,121"
Queensland,Barcaldine Regional Council,Total Financial Assistance Grant (inc Early Payment),"$7,110,907","$7,346,042","$7,514,169","$7,457,976","$7,918,969","$9,561,463","$11,784,571"
Queensland,Barcoo Shire Council,Total Early Payment,"$1,895,014","$1,934,016","$1,931,657","$2,018,969","$1,924,481","$3,338,983","$6,239,430"
Queensland,Barcoo Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,723,263","$3,794,334","$3,828,645","$3,803,407","$4,070,388","$5,108,658","$6,469,330"
Queensland,Blackall-Tambo Regional Council,Total Early Payment,"$1,981,763","$2,065,192","$2,153,715","$2,217,157","$2,147,238","$3,633,694","$7,692,232"
Queensland,Blackall-Tambo Regional Council,Total Financial Assistance Grant (inc Early Payment),"$3,976,092","$4,139,377","$4,237,011","$4,208,187","$4,483,010","$5,961,042","$7,962,748"
Queensland,Boulia Shire Council,Total Early Payment,"$1,525,234","$1,561,225","$1,545,350","$1,684,982","$1,532,671","$2,771,986","$6,550,461"
Queensland,Boulia Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,005,592","$3,049,503","$3,128,502","$3,106,124","$3,314,088","$4,820,490","$6,768,813"
Queensland,Brisbane City Council,Total Early Payment,"$19,807,313","$20,576,527","$21,582,559","$22,284,779","$22,625,969","$35,917,485","$44,637,701"
Queensland,Brisbane City Council,Total Financial Assistance Grant (inc Early Payment),"$39,625,680","$41,364,624","$42,529,232","$43,279,800","$45,746,425","$45,547,846","$46,686,532"
Queensland,Bulloo Shire Council,Total Early Payment,"$3,107,987","$3,316,211","$3,612,291","$3,666,750","$4,038,125","$6,080,888","$8,481,855"
Queensland,Bulloo Shire Council,Total Financial Assistance Grant (inc Early Payment),"$6,383,741","$6,794,777","$7,056,624","$7,408,255","$7,942,421","$8,217,971","$8,843,899"
Queensland,Bundaberg Regional Council,Total Early Payment,"$3,955,775","$4,189,509","$4,087,763","$4,614,696","$4,085,294","$7,598,615","$5,410,434"
Queensland,Bundaberg Regional Council,Total Financial Assistance Grant (inc Early Payment),"$8,067,432","$8,126,639","$8,424,588","$8,404,791","$8,972,759","$7,598,623","$5,741,945"
Queensland,Burdekin Shire Council,Total Early Payment,"$1,759,182","$1,871,182","$1,737,491","$1,881,806","$1,720,405","$3,109,855","$7,224,605"
Queensland,Burdekin Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,602,446","$3,544,491","$3,505,538","$3,476,903","$3,718,753","$5,317,828","$7,466,543"
Queensland,Burke Shire Council,Total Early Payment,"$1,531,199","$1,556,781","$1,558,956","$1,657,501","$1,538,907","$2,755,724","$6,330,715"
Queensland,Burke Shire Council,Total Financial Assistance Grant (inc Early Payment),"$2,996,245","$3,057,985","$3,115,756","$3,083,265","$3,307,555","$4,754,250","$6,544,188"
Queensland,Cairns Regional Council,Total Early Payment,"$2,885,079","$2,985,907","$3,093,618","$3,155,877","$3,189,328","$5,048,159","$5,631,035"
Queensland,Cairns Regional Council,Total Financial Assistance Grant (inc Early Payment),"$5,750,540","$5,965,742","$6,060,318","$6,115,956","$6,440,319","$6,124,705","$5,905,259"
Queensland,Carpentaria Shire Council,Total Early Payment,"$2,369,477","$2,424,539","$2,545,356","$2,696,484","$2,822,718","$4,466,824","$8,701,550"
Queensland,Carpentaria Shire Council,Total Financial Assistance Grant (inc Early Payment),"$4,667,108","$4,875,742","$5,078,529","$5,312,282","$5,691,772","$7,112,536","$9,019,958"
Queensland,Cassowary Coast Regional Council,Total Early Payment,"$1,700,182","$1,803,456","$1,950,957","$1,981,230","$2,019,432","$3,294,685","$5,593,930"
Queensland,Cassowary Coast Regional Council,Total Financial Assistance Grant (inc Early Payment),"$3,472,436","$3,682,378","$3,812,584","$3,853,657","$4,137,414","$4,827,390","$5,813,452"
Queensland,Central Highlands Regional Council,Total Early Payment,"$4,410,740","$4,676,055","$4,998,965","$5,139,105","$5,524,501","$8,446,103","$9,969,497"
Queensland,Central Highlands Regional Council,Total Financial Assistance Grant (inc Early Payment),"$9,004,206","$9,490,602","$9,828,446","$10,262,066","$10,956,276","$10,532,848","$10,443,633"
Queensland,Charters Towers Regional Council,Total Early Payment,"$3,099,182","$3,078,059","$3,254,885","$3,350,514","$3,259,418","$5,457,352","$10,692,236"
Queensland,Charters Towers Regional Council,Total Financial Assistance Grant (inc Early Payment),"$5,926,349","$6,213,231","$6,403,599","$6,376,023","$6,769,574","$8,601,438","$11,087,986"
Queensland,Cherbourg Aboriginal Shire Council,Total Early Payment,"$300,148","$321,237","$352,612","$356,735","$655,113","$590,643","$2,240,661"
Queensland,Cherbourg Aboriginal Shire Council,Total Financial Assistance Grant (inc Early Payment),"$618,268","$660,767","$687,618","$963,294","$1,033,959","$1,591,861","$2,311,534"
Queensland,Cloncurry Shire Council,Total Early Payment,"$2,799,402","$2,839,632","$2,887,231","$3,045,105","$2,842,765","$4,838,764","$9,067,732"
Queensland,Cloncurry Shire Council,Total Financial Assistance Grant (inc Early Payment),"$5,465,628","$5,619,988","$5,747,600","$5,679,342","$5,949,692","$7,376,709","$9,398,016"
Queensland,Cook Shire Council,Total Early Payment,"$4,699,170","$5,014,603","$5,462,297","$5,544,183","$5,420,377","$9,207,222","$13,727,831"
Queensland,Cook Shire Council,Total Financial Assistance Grant (inc Early Payment),"$9,653,151","$10,274,686","$10,670,170","$10,566,954","$11,331,941","$12,514,353","$14,284,572"
Queensland,Croydon Shire Council,Total Early Payment,"$1,796,501","$1,917,595","$2,090,067","$2,121,019","$2,333,073","$3,518,963","$6,136,764"
Queensland,Croydon Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,691,320","$3,930,272","$4,082,375","$4,282,577","$4,592,225","$5,330,169","$6,373,872"
Queensland,Diamantina Shire Council,Total Early Payment,"$1,533,996","$1,607,378","$1,582,753","$1,698,530","$1,567,047","$2,791,181","$6,085,619"
